nifi1_component,nifi2_equivalent,status,property_changes,recommended_config,examples,source_doc
ListAzureDataLakeStorage,ListAzureDataLakeStorage,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del ADLSCredentialsControllerService asociado y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.ListAzureDataLakeStorage/"
ListBoxFile,ListBoxFile,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del StandardBoxClientService asociado y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-box-nar/2.0.0-M3/org.apache.nifi.processors.box.ListBoxFile/"
ListDatabaseTables,ListDatabaseTables,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del DBCPConnectionPool asociado y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ListDatabaseTables/"
ListDropbox,ListDropbox,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del StandardDropboxCredentialService asociado y migrar variables a Parameter Contexts si aplica. Considerar la posible pérdida de estado durante la actualización.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-dropbox-nar/2.0.0-M3/org.apache.nifi.processors.dropbox.ListDropbox/"
ListenFTP,ListenFTP,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica. Prestar atención a la gestión del estado durante la actualización.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ListenFTP/"
ListenGRPC,-,deprecated,"El procesador está obsoleto en NiFi 2.0 y no hay alternativas directas. Se recomienda implementar procesadores personalizados para lograr una funcionalidad similar.","Implementar un procesador personalizado para escuchar gRPC o re-arquitectar el flujo para usar un mecanismo de comunicación diferente.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ListenHTTP,ListenHTTP,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del StandardHttpContextMap asociado y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ListenHTTP/"
ListenOTLP,ListenOTLP,new,"Es un nuevo procesador introducido en NiFi 2.0.0-M1 (y 1.24.0) para la recolección de mensajes OpenTelemetry.","Considerar su uso para la ingesta de datos de telemetría. Típicamente requiere la configuración de un SSL Context Service para TLS.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-opentelemetry-nar/2.0.0-M3/org.apache.nifi.processors.opentelemetry.ListenOTLP/"
ListenRELP,-,removed,"El procesador está obsoleto y será eliminado en NiFi 2.0. No hay una alternativa directa sugerida.","Re-arquitectar los flujos para usar un enfoque diferente o un procesador personalizado para la ingesta de mensajes RELP.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ListenSMTP,-,removed,"El procesador está obsoleto y será eliminado en NiFi 2.0. No hay una alternativa directa sugerida.","Considerar un enfoque alternativo como configurar un servidor SMTP externo y usar ListenSFTP para leer los correos como archivos.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ListenSyslog,ListenSyslog,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ListenSyslog/"
ListenTCP,ListenTCP,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene. Es parte de la solución para reemplazar ListenTCPRecord.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica. Considerar su uso en combinación con ConvertRecord para flujos que usaban ListenTCPRecord.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ListenTCP/"
ListenTCPRecord,"ListenTCP / ConvertRecord",removed,"El procesador está obsoleto y será eliminado en NiFi 2.0. Las capacidades de escucha de red han sido consolidadas o eliminadas.","Reemplazar por la combinación de ListenTCP y ConvertRecord para escuchar conexiones TCP y procesar registros.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ListenTrapSNMP,ListenTrapSNMP,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-snmp-nar/2.0.0-M3/org.apache.nifi.processors.snmp.ListenTrapSNMP/"
ListenUDP,ListenUDP,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ListenUDP/"
ListenUDPRecord,ListenUDPRecord,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Verificar las coordenadas del bundle en flow.json.gz y migrar variables a Parameter Contexts si aplica. Asegurar la compatibilidad de los Record Readers y Writers asociados.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ListenUDPRecord/"
ListenWebSocket,ListenWebSocket,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del WebSocketServerService asociado y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-websocket-nar/2.0.0-M3/org.apache.nifi.processors.websocket.ListenWebSocket/"
ListFile,ListFile,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del DistributedMapCache asociado y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ListFile/"
ListFTP,ListFTP,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del DistributedMapCache asociado y migrar variables a Parameter Contexts si aplica. Prestar atención a la posible pérdida de estado durante la actualización.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ListFTP/"
ListGCSBucket,ListGCSBucket,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del GCPCredentialsControllerService y Record Writer asociados, y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-gcp-nar/2.0.0-M3/org.apache.nifi.processors.gcp.storage.ListGCSBucket/"
ListGoogleDrive,ListGoogleDrive,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del StandardGoogleDriveClientService asociado y migrar variables a Parameter Contexts si aplica. Si se usaba la estrategia de programación \"Event Driven\", cambiar a \"Timer Driven\".","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-gcp-nar/2.0.0-M3/org.apache.nifi.processors.gcp.drive.ListGoogleDrive/"
ListHDFS,ListHDFS,changed,"Si se usa Kerberos, la configuración debe migrarse a un KerberosUserService. Posibles cambios en las coordenadas del bundle requieren actualizar flow.json.gz.","Migrar la configuración de Kerberos a un KerberosUserService. Actualizar flow.json.gz si las coordenadas del bundle han cambiado. Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-hadoop-nar/2.0.0-M3/org.apache.nifi.processors.hadoop.ListHDFS/"
ListS3,ListS3,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.s3.ListS3/"
ListSFTP,ListSFTP,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica. Prestar atención a la posible pérdida de estado durante la actualización.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ListSFTP/"
ListSmb,ListSmb,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica. Revisar la configuración después de la actualización.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-smb-nar/2.0.0-M3/org.apache.nifi.processors.smb.ListSmb/"
LogAttribute,LogAttribute,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.LogAttribute/"
LogMessage,LogMessage,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica. Revisar la configuración de logging en logback.xml.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.LogMessage/"
LookupAttribute,LookupAttribute,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del servicio de lookup configurado y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.LookupAttribute/"
LookupRecord,LookupRecord,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del LookupService y los Record Readers/Writers asociados, y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.LookupRecord/"
MergeContent,MergeContent,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.MergeContent/"
MergeRecord,MergeRecord,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad de los Record Readers y Writers asociados y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.MergeRecord/"
ModifyBytes,ModifyBytes,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ModifyBytes/"
ModifyCompression,ModifyCompression,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ModifyCompression/"
ModifyHTMLElement,-,removed,"El procesador no tiene mantenimiento y está planeado para ser eliminado en NiFi 2.0. No hay alternativas directas sugeridas.","Re-arquitectar los flujos o implementar soluciones personalizadas para la manipulación de elementos HTML.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
MonitorActivity,MonitorActivity,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.MonitorActivity/"
MoveAzureDataLakeStorage,MoveAzureDataLakeStorage,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del ADLSCredentialsControllerService asociado y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.MoveAzureDataLakeStorage/"
MoveHDFS,MoveHDFS,changed,"Si se usa Kerberos, la configuración debe migrarse a un KerberosUserService. Posibles cambios en las coordenadas del bundle requieren actualizar flow.json.gz.","Migrar la configuración de Kerberos a un KerberosUserService. Actualizar flow.json.gz si las coordenadas del bundle han cambiado. Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-hadoop-nar/2.0.0-M3/org.apache.nifi.processors.hadoop.MoveHDFS/"
Notify,Notify,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.Notify/"
PackageFlowFile,PackageFlowFile,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-flowfile-packager-nar/2.0.0-M3/org.apache.nifi.processors.packaging.PackageFlowFile/"
PaginatedJsonQueryElasticsearch,PaginatedJsonQueryElasticsearch,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Verificar las coordenadas del bundle en flow.json.gz y migrar variables a Parameter Contexts si aplica. Asegurar la compatibilidad con las APIs de Elasticsearch.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-elasticsearch-restapi-nar/2.0.0-M3/org.apache.nifi.processors.elasticsearch.PaginatedJsonQueryElasticsearch/"
ParseCEF,ParseCEF,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ParseCEF/"
ParseEvtx,ParseEvtx,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-windows-event-log-nar/2.0.0-M3/org.apache.nifi.processors.windows.event.log.ParseEvtx/"
ParseNetflowv5,ParseNetflowv5,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica. Considerar el cambio en el formato de configuración del flujo de XML a JSON.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-netflow-nar/2.0.0-M3/org.apache.nifi.processors.netflow.ParseNetflowv5/"
ParseSyslog,ParseSyslog,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ParseSyslog/"
ParseSyslog5424,ParseSyslog5424,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21 y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ParseSyslog5424/"
PartitionRecord,PartitionRecord,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad de los Record Readers y Writers asociados y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.PartitionRecord/"
PostHTTP,InvokeHTTP,deprecated,"El procesador está obsoleto y se espera que sea eliminado en NiFi 2.0.","Reemplazar por el procesador InvokeHTTP, configurando el método HTTP a POST.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
PostSlack,PublishSlack,deprecated,"El procesador está obsoleto y era difícil de configurar. Carecía de funcionalidades y exponía detalles complejos de la API de Slack.","Reemplazar por PublishSlack, que ofrece una configuración más sencilla y utiliza la API REST estándar de Slack.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
PublishAMQP,PublishAMQP,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Verificar las coordenadas del bundle en flow.json.gz y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-amqp-nar/2.0.0-M3/org.apache.nifi.processors.amqp.PublishAMQP/"
PublishGCPubSub,PublishGCPubSub,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Verificar las coordenadas del bundle en flow.json.gz y migrar variables a Parameter Contexts si aplica. Asegurar la compatibilidad del GCPCredentialsControllerService asociado.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-gcp-nar/2.0.0-M3/org.apache.nifi.processors.gcp.pubsub.PublishGCPubSub/"
PublishGCPubSubLite,PublishGCPubSubLite,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Verificar las coordenadas del bundle en flow.json.gz y migrar variables a Parameter Contexts si aplica. Asegurar la compatibilidad del GCPCredentialsControllerService asociado.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-gcp-nar/2.0.0-M3/org.apache.nifi.processors.gcp.pubsub.PublishGCPubSubLite/"
PublishJMS,PublishJMS,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Verificar las coordenadas del bundle en flow.json.gz y migrar variables a Parameter Contexts si aplica. Asegurar la compatibilidad del JMSConnectionFactoryProvider asociado.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-jms-nar/2.0.0-M3/org.apache.nifi.processors.jms.PublishJMS/"
PublishKafka_1_0,PublishKafka_2_6,deprecated,"El procesador es un componente heredado y está obsoleto en NiFi 2.0.","Reemplazar por PublishKafka_2_6 (o PublishKafka_2_0 si se apunta a una versión anterior de Kafka 2.x). Considerar el soporte extendido de Kafka 3 en NiFi 2.0.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
PublishKafka_2_0,PublishKafka_2_6,replaced,"El procesador es un componente heredado y ha sido reemplazado en NiFi 2.0.","Reemplazar por PublishKafka_2_6. Considerar el nuevo enfoque basado en servicios de controlador para Kafka y la migración de la configuración de Kerberos.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
PublishKafka_2_6,"New controller service-based Kafka components",replaced,"El procesador ha sido reemplazado por nuevos componentes basados en servicios de controlador en NiFi 2.0. Esto es un cambio drástico.","Reemplazar por los nuevos componentes Kafka basados en servicios de controlador. Actualizar flow.json.gz si las coordenadas del bundle han cambiado. Migrar la configuración de Kerberos si aplica.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
PublishKafkaRecord_1_0,PublishKafkaRecord_2_6,deprecated,"El procesador está obsoleto en NiFi 2.0.","Reemplazar por PublishKafkaRecord_2_6. Considerar el nuevo enfoque basado en servicios de controlador para Kafka y la migración de la configuración de Kerberos.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
PublishKafkaRecord_2_0,PublishKafkaRecord_2_6,deprecated,"El procesador está obsoleto en NiFi 2.0.","Reemplazar por PublishKafkaRecord_2_6. Considerar el nuevo enfoque basado en servicios de controlador para Kafka y la migración de la configuración de Kerberos.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
PublishKafkaRecord_2_6,"New controller service-based Kafka components",replaced,"El procesador ha sido reemplazado por nuevos componentes basados en servicios de controlador en NiFi 2.0. Esto es un cambio drástico.","Reemplazar por los nuevos componentes Kafka basados en servicios de controlador. Actualizar flow.json.gz si las coordenadas del bundle han cambiado. Migrar la configuración de Kerberos si aplica. Cloudera ha preservado temporalmente estos procesadores para facilitar la transición.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
PublishMQTT,PublishMQTT,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Verificar las coordenadas del bundle en flow.json.gz y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-mqtt-nar/2.0.0-M3/org.apache.nifi.processors.mqtt.PublishMQTT/"
PublishSlack,PublishSlack,active,"Reemplaza a los procesadores obsoletos PutSlack y PostSlack. Introducido en NiFi 2.0.0-M2.","Configurar una aplicación de Slack, obtener un token OAuth con los scopes necesarios (chat:write, files:write si se adjuntan FlowFiles), y configurar el procesador con el token, canal y estrategia de publicación.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-slack-nar/2.0.0-M3/org.apache.nifi.processors.slack.PublishSlack/"
PutAzureBlobStorage,PutAzureBlobStorage_v12,deprecated,"El procesador está obsoleto debido a su dependencia de un SDK de Azure heredado.","Reemplazar por PutAzureBlobStorage_v12. Utilizar AzureStorageCredentialsControllerService_v12 o AzureStorageCredentialsControllerServiceLookup_v12 para la gestión de credenciales.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.PutAzureBlobStorage_v12/"
PutAzureBlobStorage_v12,PutAzureBlobStorage_v12,active,"No se esperan cambios directos en las propiedades. Es el procesador recomendado para Azure Blob Storage.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad de los servicios de credenciales _v12 asociados y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.PutAzureBlobStorage_v12/"
PutAzureCosmosDBRecord,PutAzureCosmosDBRecord,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del AzureCosmosDBClientService y los Record Readers/Writers asociados, y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.cosmos.db.PutAzureCosmosDBRecord/"
PutAzureDataLakeStorage,PutAzureDataLakeStorage,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del ADLSCredentialsControllerService asociado y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.PutAzureDataLakeStorage/"
PutAzureEventHub,PutAzureEventHub,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del Proxy Configuration Service asociado (si aplica) y migrar variables a Parameter Contexts. Si se usaba la estrategia de programación \"Event Driven\", cambiar a \"Timer Driven\".","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.eventhub.PutAzureEventHub/"
PutAzureQueueStorage,PutAzureQueueStorage,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del AzureStorageCredentialsControllerService asociado y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.PutAzureQueueStorage/"
PutAzureQueueStorage_v12,PutAzureQueueStorage_v12,active,"No se esperan cambios directos en las propiedades. Es el procesador recomendado para Azure Queue Storage.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad de los servicios de credenciales _v12 asociados y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.PutAzureQueueStorage_v12/"
PutBigQuery,PutBigQuery,active,"No se esperan cambios directos en las propiedades. La funcionalidad principal se mantiene.","Revisar la compatibilidad del entorno con Java 21. Asegurar la compatibilidad del RecordReader asociado y migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-gcp-nar/2.0.0-M3/org.apache.nifi.processors.gcp.bigquery.PutBigQuery/"
PutBigQueryBatch,PutBigQuery,deprecated,"El procesador está obsoleto en NiFi 2.0.","Reemplazar por el procesador PutBigQuery.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
